MeatTypeID,TradeTypeID,MeatDescriptionID,Country ID,2014,2015,2016,2017,2018,Jan-Mar 18,Jan-Mar 19
1,1,1,11,"1,082,676","1,258,200","767,144","694,929","673,082","141,342","144,567"
1,1,1,2,"602,157","628,448","717,777","741,328","791,974","175,439","207,722"
1,1,1,16,"597,115","661,687","612,549","556,965","572,314","173,663","121,285"
1,1,1,1,"310,155","391,937","493,421","573,564","508,236","122,870","141,844"
1,1,1,30,"81,463","149,580","152,703","137,906","140,912","32,345","34,726"
1,1,1,39,"138,972","103,834","111,244","133,341","156,844","40,441","46,872"
1,1,1,35,"91,859","136,949","120,704","120,476","115,017","23,394","29,691"
1,1,1,12,"28,859","27,580","27,505","24,268","23,652","6,608","5,595"
1,1,1,14,"9,033","3,356",66,"1,987","5,653","1,524","1,096"
1,1,1,44,,"3,108","5,146","4,350","3,751",961,"1,956"
1,1,1,4,"1,984",627,"1,013","1,053","3,063","2,433","1,970"
1,1,1,13,,,364,"2,272","3,333",808,952
1,1,1,7,594,"1,658","1,778",667,56,,1
1,1,1,69,"1,930","1,290",,,103,,39
1,1,1,37,,,,99,340,17,103
1,1,1,58,,,140,49,60,11,15
1,1,1,34,,,72,,105,,
1,1,1,55,,8,41,42,40,11,8
1,1,1,27,,25,25,28,,,0
1,1,1,50,21,15,18,6,17,9,6
1,1,1,89,64,2,31,11,47,0,0
1,2,1,4,"663,245","539,575","655,401","826,004","880,655","197,332","194,068"
1,2,1,17,"301,368","318,968","459,151","472,729","638,186","135,765","147,070"
1,2,1,1,"434,719","362,721","394,952","419,349","448,790","98,291","110,282"
1,2,1,3,"416,102","315,821","293,813","335,705","307,270","88,416","48,731"
1,2,1,2,"364,021","323,609","307,855","309,138","299,880","70,988","62,066"
1,2,1,9,"104,560","108,789","136,881","137,808","185,147","40,429","41,959"
1,2,1,13,"36,462","38,889","35,450","38,660","32,650","6,463","7,595"
1,2,1,6,"28,064","32,652","24,569","30,317","40,979","9,581","10,970"
1,2,1,7,"27,764","25,391","26,430","32,784","28,684","10,081","5,731"
1,2,1,23,"8,640","12,202","18,607","30,206","37,117","6,384","5,394"
1,2,1,8,"19,266","21,337","17,986","18,508","18,724","3,893","5,590"
1,2,1,19,"14,092","15,404","17,092","17,017","16,831","4,437","4,135"
1,2,1,25,"18,934","17,289","14,599","15,566","13,126","2,777","2,389"
1,2,1,87,"7,774","4,673","17,060","19,125","22,566","5,809","6,621"
1,2,1,21,"10,713","10,228","12,984","15,939","16,488","4,369","4,114"
1,2,1,5,"9,957","10,181","10,181","9,340","9,991","2,491","2,545"
1,2,1,10,"8,415","1,681",1,"9,381","21,994","4,823","4,991"
1,2,1,65,"8,283","9,388","7,038","8,205","8,329","2,667","1,621"
1,2,1,29,"10,109","9,080","6,226","7,649","8,025","3,110","1,634"
1,2,1,28,"4,728","7,240","5,705","9,726","9,209","2,191","2,398"
1,2,1,89,"76,539","82,168","94,950","96,532","110,730","29,849","26,004"
3,1,2,1,"1,115,855","1,154,421","943,043","1,163,641","1,268,687","307,033","366,595"
3,1,2,2,"1,242,512","829,968","764,971","642,494","630,771","160,272","200,490"
3,1,2,11,,,,,1,,
3,2,2,2,"49,744","38,588","36,615","145,347","195,517","27,174","49,847"
3,2,2,1,"27,697","20,271","28,643","29,719","21,916","7,773","7,103"
3,2,2,33,"15,257","3,436",,"1,131","6,866",,"2,628"
3,2,2,32,"3,503","5,433",,"5,603",,,
3,2,2,82,24,,,"2,876","8,874",309,
3,2,2,23,,"1,553",25,"5,128","1,850",,"1,625"
3,2,2,61,"3,801","1,351",,"1,500","1,800","1,800",
3,2,2,59,"4,160",,,,,,
3,2,2,43,"1,986",541,,,,,
3,2,2,77,198,491,828,394,498,88,35
3,2,2,8,94,14,388,108,59,52,
3,2,2,18,241,70,55,113,140,114,
3,2,2,13,517,,10,,6,4,
3,2,2,20,37,60,350,45,27,,
3,2,2,15,,112,91,144,142,,51
3,2,2,70,,,273,,209,209,
3,2,2,14,11,,377,33,55,,13
3,2,2,17,84,40,,149,98,,
3,2,2,86,,,333,7,,,20
3,2,2,49,,242,,,,,
4,1,1,2,"778,388","854,742","787,857","724,463","615,563","173,631","141,550"
4,1,1,55,"65,567","80,436","100,756","166,261","166,528","44,414","51,621"
4,1,1,27,"78,689","73,382","67,048","70,990","81,208","20,873","17,996"
4,1,1,1,"20,680","24,420","30,949","36,805","47,475","11,546","14,031"
4,1,1,25,"18,468","22,878","22,746","23,690","25,509","5,474","6,239"
4,1,1,31,"7,572","14,694","18,170","18,601","24,737","5,537","5,739"
4,1,1,36,"9,558","10,271","15,014","23,293","23,161","5,254","6,096"
4,1,1,13,"11,272","11,944","18,506","18,671","15,544","2,814","3,304"
4,1,1,44,"12,614","14,804","13,888","10,080","11,728","3,566","2,752"
4,1,1,30,82,463,"7,113","13,899","19,886","3,042","6,594"
4,1,1,7,"3,209","2,645","4,092","3,290","4,713","1,186","1,132"
4,1,1,29,"2,227","2,575","2,810","3,113","4,235","1,103","1,141"
4,1,1,40,"1,849","1,287","1,034","1,098",626,249,309
4,1,1,73,639,679,723,702,572,156,159
4,1,1,37,141,133,142,200,206,62,17
4,1,1,50,112,173,169,88,141,31,23
4,1,1,58,,,41,201,370,52,85
4,1,1,71,,19,60,70,42,22,
4,1,1,16,10,63,8,68,12,2,1
4,1,1,34,,,106,,,,
